,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
278,459886,1,1,28,0,0,0,2,4,5,D
279,459887,1,1,46,0,0,3,0,2,7,C
280,459889,1,1,59,1,6,9,0,3,5,C
281,459897,0,1,56,1,0,0,2,2,5,B
282,459909,1,1,69,1,0,0,2,1,5,B
283,459910,1,1,66,1,0,0,2,2,5,B
284,459911,1,0,18,0,5,4,2,6,1,D
285,459914,1,0,36,1,0,4,2,1,3,B
286,459923,1,0,31,1,8,1,2,2,2,D
287,459925,1,1,67,0,4,1,1,2,3,A
288,459937,0,0,39,1,0,7,2,1,5,B
289,459943,1,0,42,1,3,4,2,3,5,D
290,459945,1,1,50,1,0,0,2,2,5,B
291,459946,0,1,37,1,0,0,0,2,5,C
292,459949,0,0,59,1,0,0,2,1,5,B
293,459953,1,1,50,1,0,8,2,2,5,B
294,459961,1,1,48,1,0,8,2,3,1,B
295,459962,1,1,55,1,0,9,2,1,5,B
296,459966,0,0,33,1,1,1,2,3,5,A
297,459968,1,0,38,1,0,13,2,1,6,A
298,459970,1,0,43,1,0,0,2,2,5,B
299,459973,0,0,53,1,0,0,2,2,5,B
300,459974,1,0,37,1,3,0,2,1,5,A
301,459975,0,0,36,1,0,5,2,1,5,A
302,459981,1,0,36,1,0,5,2,1,5,A
303,459986,1,1,62,1,0,1,2,1,5,B
304,459995,0,0,38,0,0,2,2,2,5,A
305,459996,1,0,55,1,3,1,2,1,5,A
306,459998,1,1,60,0,3,1,0,2,5,B
307,460004,0,1,36,1,3,7,0,2,4,A
308,460006,1,0,30,0,3,5,2,9,2,D
309,460014,0,0,66,0,3,4,2,3,5,D
310,460023,1,1,45,1,3,1,2,1,5,A
311,460027,0,0,40,1,3,6,2,2,5,A
312,460033,0,2,45,1,3,5,2,3,5,A
313,460036,1,1,41,1,9,2,2,1,5,D
314,460040,0,1,62,1,6,4,2,1,4,A
315,460045,1,1,61,1,0,1,2,2,5,B
316,460046,0,1,50,1,0,4,2,2,5,C
317,460050,1,1,53,1,3,3,2,2,5,A
318,460051,1,0,39,1,0,7,2,1,5,B
319,460052,0,0,86,1,7,0,2,1,2,D
320,460058,1,1,50,1,0,1,2,1,3,A
321,460059,0,0,46,0,3,4,2,3,3,D
322,460061,1,0,52,1,8,0,2,1,2,D
323,460066,0,0,45,0,8,0,2,1,5,D
324,460068,0,0,37,1,0,9,2,1,5,B
325,460073,0,1,36,1,2,3,2,1,5,A
326,460075,0,0,25,1,0,4,2,1,5,A
327,460079,0,0,40,0,1,1,2,1,5,A
328,460081,1,1,41,1,0,11,1,2,5,C
329,460088,0,1,25,1,6,4,1,2,5,D
330,460090,1,1,80,0,7,4,0,2,5,B
331,460093,0,0,46,1,0,3,2,1,2,B
332,460095,0,1,81,1,7,1,2,1,5,D
333,460097,1,2,40,1,0,0,2,2,2,A
334,460099,1,0,49,1,9,1,2,1,2,D
335,460101,0,0,26,1,5,8,2,3,2,D
336,460103,1,0,26,1,0,1,2,1,3,A
337,460105,0,0,47,1,0,0,2,1,3,B
338,460106,0,1,71,1,3,0,2,1,5,B
339,460107,1,1,48,1,2,1,0,5,5,C
340,460108,1,1,39,1,0,1,0,3,1,C
341,460109,1,1,50,1,0,8,0,2,5,C
342,460110,0,0,46,1,0,1,2,2,7,C
343,460112,1,1,26,1,2,8,0,2,2,A
344,460116,0,1,42,1,9,1,2,2,5,D
345,460118,0,1,36,1,0,4,2,2,5,B
346,460119,1,0,29,1,5,1,2,4,5,D
347,460122,0,0,39,0,0,1,2,1,5,A
348,460124,0,0,41,1,0,0,2,3,5,C
349,460126,0,1,48,1,8,8,2,2,5,D
350,460134,1,1,40,1,3,9,1,3,5,C
351,460135,0,0,25,1,5,4,2,3,5,D
352,460140,0,1,41,1,0,7,2,2,5,C
353,460141,1,0,37,1,0,11,2,1,5,A
354,460144,0,0,53,1,1,0,2,2,2,B
355,460146,0,1,51,1,2,0,0,3,2,B
356,460147,1,1,73,1,3,1,0,3,5,C
357,460157,1,1,61,0,9,1,2,5,3,D
358,460160,1,0,39,1,3,5,2,1,2,D
359,460162,0,0,19,0,5,0,2,4,1,D
360,460166,0,0,19,0,5,0,2,7,1,D
361,460167,0,0,23,0,3,1,2,5,1,D
362,460168,1,1,83,1,4,0,1,2,1,B
363,460171,0,1,62,1,0,1,1,2,5,C
364,460174,0,0,43,1,0,9,2,4,5,C
365,460175,0,0,27,0,0,0,2,5,1,D
366,460177,1,0,50,1,0,0,2,1,5,B
367,460179,0,0,23,0,3,0,2,6,1,D
368,460183,1,0,35,0,3,9,2,2,5,D
369,460185,1,0,32,0,5,9,2,3,5,D
370,460187,0,0,42,1,1,2,2,3,5,A
371,460189,1,0,33,0,3,13,2,1,5,D
372,460190,0,0,28,1,3,9,2,3,5,D
373,460192,1,1,35,1,9,1,2,2,6,D
374,460196,0,0,35,1,5,9,2,2,5,D
375,460206,0,1,39,1,3,0,2,2,5,A
376,460211,1,1,28,2,0,6,2,1,5,A
377,460212,1,1,35,1,3,11,2,6,5,C
378,460214,0,1,45,1,2,0,0,2,5,C
379,460222,0,2,73,1,7,4,1,2,5,C
380,460223,1,0,52,0,3,1,2,1,5,A
381,460227,1,0,28,0,5,0,2,3,5,D
382,460242,1,1,38,1,5,9,2,3,5,D
383,460243,0,0,42,1,3,8,2,1,5,A
384,460247,0,0,26,0,1,9,2,3,5,D
385,460248,0,0,27,1,5,7,2,2,5,D
386,460252,1,1,41,1,0,0,2,2,5,B
387,460263,1,1,41,1,0,1,2,2,5,B
388,460265,1,1,47,1,4,0,1,4,5,C
389,460270,1,0,35,1,1,8,2,1,5,A
390,460272,0,0,88,1,7,0,2,1,5,D
391,460275,0,0,46,1,0,6,2,1,5,B
392,460276,0,1,41,1,0,3,2,2,5,C
393,460281,0,0,30,1,1,10,2,5,5,C
394,460283,1,1,43,1,1,12,2,2,5,B
395,460284,0,0,29,1,3,9,2,2,5,D
396,460287,1,1,48,1,0,1,2,1,5,B
397,460289,0,1,61,1,0,4,0,6,3,C
398,460298,0,0,51,1,7,2,2,1,5,D
399,460303,0,0,38,1,0,2,2,1,7,A
400,460305,0,2,49,1,3,0,1,1,5,A
401,460306,0,0,43,1,5,9,2,1,5,D
402,460310,1,0,27,0,5,14,2,4,5,D
403,460315,0,0,35,0,1,14,2,6,6,D
404,460319,0,1,39,0,1,4,0,2,6,B
405,460322,0,1,52,0,2,9,2,2,5,A
406,460323,0,0,38,1,2,10,2,1,5,A
407,460324,0,0,30,1,3,12,2,2,5,D
408,460327,0,0,43,1,0,10,2,1,5,B
409,460333,0,0,42,0,3,10,2,4,5,D
410,460336,0,0,46,1,0,2,2,1,6,B
411,460340,0,0,47,1,0,11,2,2,5,B
412,460341,0,0,32,0,3,13,2,5,6,D
413,460344,0,1,53,1,0,11,0,2,5,C
414,460346,0,1,43,1,0,12,0,2,5,C
415,460348,0,0,39,1,0,0,2,2,5,A
416,460349,1,2,42,1,0,3,0,2,5,C
417,460354,0,0,37,1,0,3,2,1,2,A
418,460356,1,0,19,0,5,0,2,4,5,D
419,460358,1,0,30,0,8,1,2,1,2,D
420,460361,0,1,49,1,0,0,2,1,3,B
421,460362,1,1,55,1,5,0,2,3,3,A
422,460365,0,1,59,1,1,1,2,2,3,B
423,460369,0,1,46,1,0,3,2,2,5,C
424,460370,0,1,27,1,4,9,1,2,5,D
425,460371,0,0,25,1,0,1,2,2,5,A
426,460378,0,0,37,1,1,1,2,1,5,A
427,460379,1,0,38,1,0,9,2,3,5,C
428,460380,1,0,29,1,3,9,2,3,5,D
429,460381,1,0,28,1,0,11,2,2,5,A
430,460384,0,1,27,1,8,8,2,2,5,D
431,460387,0,0,42,0,3,3,2,2,5,D
432,460388,0,0,43,1,0,14,2,2,5,B
433,460389,0,1,40,1,5,8,0,2,5,A
434,460390,1,0,41,1,0,9,2,3,5,C
435,460392,1,1,46,0,3,8,2,1,0,A
436,460394,0,0,32,1,5,9,2,3,5,D
437,460397,0,0,56,1,3,1,2,1,5,A
438,460399,1,0,28,1,8,12,2,1,5,D
439,460401,0,0,25,1,0,0,2,3,6,A
440,460404,1,1,42,1,0,6,2,7,5,A
441,460405,0,0,41,1,3,5,2,2,5,A
442,460406,1,1,36,1,5,3,2,2,5,D
443,460408,0,0,42,1,0,2,2,1,5,A
444,460409,0,0,42,1,0,8,2,4,5,C
445,460415,0,0,55,1,3,1,2,2,5,A
446,460422,1,1,52,1,3,1,1,3,5,C
447,460431,0,0,47,1,2,1,2,1,5,A
448,460434,1,2,57,1,0,2,1,3,5,C
449,460437,0,0,26,1,0,8,2,1,5,A
450,460440,0,0,28,0,0,5,2,2,5,A
451,460443,0,0,37,1,1,0,2,1,5,A
452,460447,1,2,89,0,7,0,2,1,2,A
453,460449,1,0,25,0,8,2,2,1,2,D
454,460450,1,1,50,1,4,1,1,4,3,B
455,460453,0,0,42,1,1,5,2,1,5,A
456,460454,1,0,48,1,0,3,2,1,5,B
457,460457,0,0,37,1,3,9,2,2,2,D
458,460459,0,0,30,0,2,1,2,5,2,D
459,460460,1,1,26,0,3,2,2,4,2,D
460,460467,0,1,47,1,0,3,0,2,5,C
461,460470,1,0,36,0,5,2,2,4,3,D
462,460476,1,1,53,0,1,1,0,4,2,B
463,460477,1,0,30,0,3,1,2,6,2,D
464,460484,0,0,20,0,5,4,2,7,2,D
465,460485,0,0,19,0,8,8,2,5,2,D
466,460489,1,0,19,0,5,9,2,6,2,D
467,460492,0,0,37,0,8,12,2,3,2,D
468,460495,1,0,20,0,5,0,2,6,2,D
469,460504,1,2,39,0,4,2,0,3,2,D
470,460505,0,0,26,1,2,1,2,3,2,D
471,460507,1,0,31,0,1,0,2,4,2,D
472,460508,1,1,31,1,5,2,1,3,2,D
473,460518,0,1,41,1,2,9,0,3,2,C
474,460522,0,1,32,0,6,3,0,2,3,D
475,460541,0,1,42,1,6,0,0,3,2,A
476,460542,0,1,89,0,7,1,2,2,2,D
477,460545,1,1,78,0,7,1,1,3,2,B
478,460546,0,1,65,1,7,1,2,2,2,D
479,460547,0,1,48,1,6,0,0,4,2,B
480,460549,1,0,36,1,0,8,2,2,2,B
481,460550,0,1,55,1,0,0,0,4,2,C
482,460551,1,1,52,1,2,0,0,2,2,C
483,460555,1,1,52,1,6,7,0,3,2,C
484,460556,0,1,41,1,9,1,2,1,2,D
485,460558,0,1,36,1,2,4,2,1,2,A
486,460561,0,0,37,0,2,7,2,1,2,A
487,460563,0,0,40,0,5,1,2,2,0,D
488,460566,1,1,38,1,6,3,0,2,2,A
489,460571,1,0,25,0,1,0,2,3,2,D
490,460572,0,0,33,1,2,1,2,4,2,D
491,460574,1,0,26,1,0,1,2,1,2,A
492,460582,0,0,28,0,3,0,2,1,2,D
493,460583,1,0,18,0,8,0,2,6,2,D
494,460585,1,0,52,0,3,0,2,3,2,D
495,460586,1,0,26,1,5,0,2,2,2,D
496,460588,1,0,18,0,5,0,2,4,2,D
497,460597,0,0,20,0,8,1,2,2,2,D
498,460598,0,1,36,1,1,0,0,3,2,B
499,460605,1,1,27,1,1,8,0,2,3,A
500,460606,1,0,21,0,5,3,2,5,6,D
501,460612,1,0,27,1,3,8,2,4,2,D
502,460615,0,0,28,1,5,3,2,3,2,D
503,460618,1,1,63,1,7,1,2,4,2,D
504,460619,1,0,48,1,3,2,2,3,2,A
505,460621,1,1,80,1,7,1,2,2,2,D
506,460622,0,1,71,1,7,7,1,3,2,C
507,460626,1,1,47,0,1,8,1,4,5,B
508,460627,0,0,22,0,9,1,2,4,2,D
509,460633,1,1,35,1,9,3,1,2,2,D
510,460634,0,0,40,0,3,2,2,6,2,D
511,460637,0,0,18,0,5,3,2,4,2,D
512,460638,0,0,26,1,0,0,2,4,2,C
513,460639,0,1,73,1,7,1,2,5,0,D
514,460640,1,1,86,2,7,1,2,1,2,A
515,460645,0,0,37,0,1,1,2,2,2,A
516,460646,1,1,59,1,3,2,2,2,2,A
517,460653,0,0,28,0,6,8,2,1,3,D
518,460656,0,1,29,1,0,9,2,3,5,C
519,460658,0,1,37,1,8,7,0,3,5,A
520,460659,0,1,46,1,8,3,0,3,5,B
521,460660,1,0,39,2,3,6,2,1,5,A
522,460661,0,0,33,0,6,8,2,1,5,D
523,460668,0,0,32,1,1,3,2,2,2,A
524,460678,0,0,32,0,1,6,2,2,2,D
525,460686,0,2,25,0,6,8,2,1,2,D
526,460687,0,1,48,1,6,9,0,2,2,A
527,460691,0,0,27,0,6,8,2,1,2,D
528,460702,0,0,49,1,0,1,2,1,5,B
529,460703,0,1,33,1,2,8,0,5,3,D
530,460706,0,0,33,0,2,7,2,6,3,D
531,460708,1,1,39,1,0,0,2,3,5,C
532,460716,1,1,50,1,3,0,0,4,5,C
533,460719,0,1,84,1,7,0,2,2,2,B
534,460720,0,1,46,1,0,0,0,2,5,C
535,460722,1,1,31,0,3,0,0,3,2,D
536,460726,1,1,57,1,0,3,0,2,5,C
537,460727,1,1,73,0,4,1,1,4,2,B
538,460729,1,1,36,1,3,9,2,4,5,D
539,460733,1,0,53,1,8,2,2,4,5,D
540,460734,1,1,41,1,3,9,0,3,1,A
541,460738,0,0,53,0,2,0,2,2,6,A
542,460740,1,1,35,1,0,2,0,3,5,C
543,460743,1,1,62,1,0,0,0,3,5,C
544,460746,1,0,23,0,8,0,2,3,5,D
545,460763,1,0,51,1,0,1,2,2,5,B
546,460769,0,1,83,0,7,1,1,2,5,B
547,460780,0,0,26,1,5,0,2,2,2,D
548,460783,1,1,86,1,7,1,2,1,5,A
549,460785,1,0,26,1,5,0,2,4,6,D
550,460789,1,1,42,1,4,0,2,3,5,D
551,460794,0,1,41,1,6,9,2,1,5,D
552,460796,1,1,67,0,7,0,2,3,5,D
553,460802,1,1,68,1,7,1,1,2,5,C
554,460811,0,1,45,0,2,0,1,2,5,A
